trade_name,trade_type,trading_date,prior_day_settlement_price,open_price,high_price,low_price,close_price,settlement_price_on_the_day,daily_comparsion,swap_point,trading_volume,open_interest_volume
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-16,133.305,133.305,134.7,132.945,134.275,134.24,0.935,93,40160,371347
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-17,134.24,134.25,135.51,133.9,135.105,135.105,0.865,276,48364,374558
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-18,135.105,135.13,135.915,134.635,135.9,135.9,0.795,97,36743,376412
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-19,135.9,135.9,137.24,135.7,136.8,136.8,0.9,100,81285,379671
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-22,136.8,136.9,137.665,136.685,137.54,137.54,0.74,97,39127,381632
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-23,137.54,137.52,137.725,135.795,136.725,136.75,-0.79,94,60622,378878
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-24,136.75,136.72,137.24,136.16,137.135,137.135,0.385,286,33951,379173
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-25,137.135,137.13,137.195,136.32,136.525,136.5,-0.635,98,39124,378817
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-26,136.5,136.515,137.5,136.165,137.47,137.45,0.95,101,48320,381111
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-29,137.45,137.83,139.01,137.75,138.745,138.745,1.295,104,79699,382553
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-30,138.745,138.7,139.085,138.04,138.79,138.79,0.045,100,45706,383387
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-31,138.79,138.75,139.005,138.275,138.94,138.96,0.17,380,33585,383484
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-01,138.96,139.065,140.245,139,140.22,140.22,1.26,,88705,386586
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-02,140.22,140.23,140.815,139.875,140.225,140.25,0.03,101,74670,385243
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-05,140.25,140.17,140.67,140.105,140.59,140.59,0.34,101,22371,385161
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-06,140.59,140.6,143.095,140.24,142.77,142.8,2.21,104,106697,386704
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-07,142.8,142.795,145.01,142.755,143.78,143.78,0.98,307,144681,382623
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-08,143.78,143.77,144.555,143.315,144.1,144.1,0.32,105,74933,382118
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-09,144.1,144.09,144.14,141.49,142.705,142.705,-1.395,102,112999,380458
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-12,142.705,142.49,143.505,142.165,142.85,142.85,0.145,102,52852,379335
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-13,142.85,142.805,144.7,141.48,144.52,144.52,1.67,103,98922,380077
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-14,144.52,144.685,144.975,142.555,143.165,143.165,-1.355,400,106046,378509
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-15,143.165,143.19,143.815,142.56,143.5,143.48,0.315,101,53981,381295
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-16,143.48,143.505,143.7,142.835,142.915,142.915,-0.565,,38465,378234
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-19,142.915,143.075,143.66,142.63,143.22,143.22,0.305,103,31203,377927
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-20,143.22,143.245,143.93,142.93,143.755,143.755,0.535,530,40781,378541
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-21,143.755,143.705,144.755,143.34,144.025,144.025,0.27,141,65742,378312
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-22,144.025,144.09,145.92,140.33,142.415,142.415,-1.61,,299808,375697
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-23,142.415,142.385,143.47,141.75,143.27,143.295,0.88,138,58325,377853
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-26,143.295,143.46,144.8,143.26,144.715,144.715,1.42,133,82885,378480
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-27,144.715,144.735,144.91,144.065,144.865,144.865,0.15,130,37818,379543
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-28,144.865,144.815,144.88,143.895,144.14,144.14,-0.725,421,45123,378431
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-29,144.14,144.14,144.81,144.055,144.475,144.45,0.31,137,41598,378054
USD-JPY,U.S. Dollar-Japanese Yen,2022-09-30,144.45,144.505,144.87,144.2,144.73,144.73,0.28,140,37917,378450
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-03,144.73,144.67,145.31,144.145,144.55,144.55,-0.18,135,54347,378639
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-04,144.55,144.65,144.95,143.88,144.15,144.15,-0.4,136,46820,376197
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-05,144.15,144.23,144.86,143.515,144.68,144.68,0.53,529,52900,377052
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-06,144.68,144.65,145.155,144.38,145.115,145.115,0.435,132,25811,382150
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-07,145.115,145.09,145.455,144.3,145.345,145.345,0.23,,48556,384772
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-10,145.345,145.39,145.82,145.225,145.74,145.74,0.395,135,26771,386431
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-11,145.74,145.735,145.91,145.415,145.87,145.85,0.11,135,27217,387135
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-12,145.85,145.84,146.985,145.52,146.935,146.935,1.085,404,64984,392305
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-13,146.935,146.91,147.69,146.395,147.205,147.205,0.27,136,85339,390350
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-14,147.205,147.22,148.875,147.075,148.635,148.635,1.43,138,68749,394253
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-17,148.635,148.61,149.105,148.415,149.01,149.01,0.375,138,37226,393317
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-18,149.01,148.995,149.405,147.73,149.26,149.26,0.25,137,58264,391245
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-19,149.26,149.23,149.92,149.11,149.92,149.9,0.64,409,37773,392583
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-20,149.9,149.88,150.3,149.54,150.165,150.165,0.265,144,53573,393038
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-21,150.165,150.115,151.955,146.06,147.65,147.65,-2.515,142,349861,390143
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-24,147.65,148.615,149.7,145.3,149.005,149.005,1.355,132,185069,378997
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-25,149.005,149.075,149.115,147.5,147.905,147.94,-1.065,132,71645,378667
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-26,147.94,148.075,148.42,146.215,146.39,146.39,-1.55,386,98409,379996
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-27,146.39,146.395,146.945,145.1,146.275,146.275,-0.115,137,98052,379822
USD-JPY,U.S. Dollar-Japanese Yen,2022-10-28,146.275,146.32,147.875,145.9,147.4,147.425,1.15,137,70945,380783
